code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
M08SF.02;DIRSO;733131555;A61;31PR237GC;350;31PR239GC;150;1;EST_OUEST;W;EXTERIEUR;1797;0;578580.0;6276372.0;578295.0;6274434.0;TO31
MM313.P1;DIRMED;931313055;A50;13PR7D;805;13PR10D;314;1;OUEST_EST;Y;;3006;0;901049.0;6246893.0;903967.0;6246194.0;MA13
MY669.I2;GRAND LYON;826969081;A6;69PR451G;756;69PR453G;31;1;SUD_NORD;W;;1206;0;838586.0;6521125.0;840060.9;6519869.0;LY69
M28SF.21;DIRSO;733131555;A61;31PR231DC;800;31PR233DC;100;1;OUEST_EST;Y;INTERIEUR;1300;0;577228.0;6282044.0;577630.0;6280091.0;TO31
MY669.I1;GRAND LYON;826969081;A6;69PR451D;755;69PR452D;287;1;NORD_SUD;Y;;529;0;838572.56;6521114.5;839335.75;6520480.0;LY69
MWL44.V1;DIRO;524444162;N844;44PR31D;200;44PR31D;910;1;EST_OUEST;Y;INTERIEUR;712;0;350446.22;6691359.0;350446.22;6691359.0;NA44
MZO57.82;DIRE;415757269;A31;57PR325G;0;57PR328G;100;1;NORD_SUD;Y;;3102;0;931546.8;6916121.0;931542.25;6919098.5;ME57
M28SF.22;DIRSO;733131555;A61;31PR231GC;800;31PR233GC;100;1;EST_OUEST;W;EXTERIEUR;1299;0;577244.0;6282049.0;577648.0;6280096.0;TO31
MB831.I2;DIRSO;733131555;A624;31PR3G;606;31PR3G;880;1;OUEST_EST;W;;796;0;568208.2;6280216.5;568208.2;6280216.5;TO31
MQR69.E1;DIRCE;;;;0;;;;;;;0;0;;;;;
MZO57.81;DIRE;415757269;A31;57PR325D;0;57PR328D;100;1;SUD_NORD;W;;3096;0;931568.94;6916124.5;931566.7;6919099.0;ME57
MQR69.E2;DIRCE;;;;0;;;;;;;0;0;;;;;
MB831.I1;DIRSO;733131555;N124;31PR6D;0;31PR6D;525;1;EST_OUEST;W;;800;0;567297.0;6280274.0;567297.0;6280274.0;TO31
MB233.u2;DIRA;;;;;;;;;;;0;0;;;;;
MB333.a2;DIRA;723333075;A630;33PR7G;675;33PR8G;367;1;SUD_NORD;W;INTERIEUR;693;0;416778.0;6427451.0;415789.0;6427591.0;BX33
